ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120621,FLORIDA,Not Applicable,INDIAN RIVER,Urban,Four-Way Intersection,OSLO RD,66TH AVENUE,Motor Vehicle in Transport,1,0,3,3,0,0,0,3,3,March,Wednesday,Cloudy,Daylight,27.5876,-80.4634
120622,FLORIDA,NORTH PORT,SARASOTA,Rural,Not an Intersection,PANACEA BLVD,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Monday,Clear,Daylight,27.0845,-82.1198
120623,FLORIDA,LIGHTHOUSE POINT,BROWARD,Urban,T-Intersection,US-1,25 ST,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Friday,Clear,Dark - Not Lighted,26.2625,-80.0991
120624,FLORIDA,FORT MYERS,LEE,Urban,T-Intersection,SR-82,FLINT DR,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,March,Thursday,Clear,Daylight,26.6413,-81.8327
120625,FLORIDA,BOCA RATON,PALM BEACH,Urban,Not an Intersection,I-95 RAMP,,Other Object (Not Fixed),1,1,1,1,0,0,0,1,1,March,Friday,Cloudy,Dark - Lighted,26.3945,-80.0933
120626,FLORIDA,Not Applicable,MANATEE,Rural,Y-Intersection,I-75,I-275,Bridge Pier or Support,1,0,1,1,0,0,0,1,1,March,Monday,Clear,Dark - Lighted,27.4469,-82.4977
120627,FLORIDA,Not Applicable,MIAMI-DADE,Urban,T-Intersection,SR-874,SR-990,Concrete Traffic Barrier,1,1,1,1,0,0,0,1,1,March,Monday,Rain,Dark - Lighted,25.6438,-80.3357
120628,FLORIDA,Not Applicable,OSCEOLA,Urban,Not an Intersection,DEER PARK ROAD,,Ditch,1,1,1,1,0,0,0,1,1,April,Sunday,Clear,Daylight,28.1011,-80.8979
120629,FLORIDA,Not Applicable,LEVY,Rural,Not an Intersection,US-19,,Motor Vehicle in Transport,2,0,2,2,0,0,0,3,3,March,Monday,Cloudy,Dawn,29.4169,-82.8232
120630,FLORIDA,Not Applicable,LEE,Rural,Not an Intersection,I-75,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,March,Sunday,Clear,Daylight,26.4029,-81.7725
120631,FLORIDA,Not Applicable,VOLUSIA,Urban,Not an Intersection,S GLENCOE ROAD,GLENHAVEN STREET,Utility Pole/Light Support,1,1,1,1,0,0,0,1,1,March,Wednesday,Clear,Daylight,28.9959,-80.9668
120632,FLORIDA,Not Applicable,BAKER,Rural,T-Intersection,CR-125,ODIS YARBOROUGH RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Friday,Cloudy,Dark - Not Lighted,30.3390,-82.1964
120633,FLORIDA,Not Applicable,LEE,Urban,Four-Way Intersection,SUMMERLIN RD,JOHN MORRIS RD,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,March,Tuesday,Clear,Dark - Lighted,26.4937,-81.9678
120634,FLORIDA,Not Applicable,VOLUSIA,Urban,Not an Intersection,US-92,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,April,Sunday,Clear,Dark - Not Lighted,29.0624,-81.2650
120635,FLORIDA,Not Applicable,ALACHUA,Rural,Not an Intersection,SR-24,90TH STREET,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Thursday,Cloudy,Daylight,29.7521,-82.2190
120636,FLORIDA,Not Applicable,VOLUSIA,Urban,Four-Way Intersection,SR-44,CR-4053,Motor Vehicle in Transport,4,0,3,3,0,0,0,6,6,April,Tuesday,Clear,Daylight,29.0267,-81.3466
120637,FLORIDA,Not Applicable,WALTON,Rural,Not an Intersection,SR-20,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,April,Friday,Clear,Daylight,30.5104,-86.1984
120638,FLORIDA,Not Applicable,SARASOTA,Rural,Not an Intersection,I-75,,Pedestrian,1,0,1,1,0,1,1,1,1,March,Thursday,Clear,Dark - Not Lighted,27.0986,-82.1336
120639,FLORIDA,Not Applicable,MANATEE,Urban,Four-Way Intersection,US-41,ORLANDO AVE,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Saturday,Clear,Daylight,27.4583,-82.5753
120640,FLORIDA,Not Applicable,MANATEE,Urban,Not an Intersection,US-41,,Rollover/Overturn,1,1,2,2,0,0,0,3,3,April,Sunday,Clear,Dark - Lighted,27.3977,-82.5635
120641,FLORIDA,Not Applicable,ORANGE,Urban,Not an Intersection,US-441,,Pedestrian,1,0,2,2,0,1,1,2,2,March,Tuesday,Rain,Dark - Not Lighted,28.6136,-81.4336
120642,FLORIDA,Not Applicable,OSCEOLA,Rural,Four-Way Intersection,US-17,PLEASANT HILL RD,Pedestrian,1,0,1,1,0,1,1,1,1,April,Wednesday,Clear,Dark - Not Lighted,28.2605,-81.4362
120643,FLORIDA,Not Applicable,ESCAMBIA,Rural,Not an Intersection,CR-182,ANGUS LANE,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Sunday,Clear,Daylight,30.7175,-87.3700
120644,FLORIDA,Not Applicable,OSCEOLA,Urban,T-Intersection,US-192,INTERNATIONAL DR,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Tuesday,Clear,Daylight,28.3329,-81.5210
120645,FLORIDA,Not Applicable,HILLSBOROUGH,Urban,Four-Way Intersection,US-41,TOWAWAY AVE,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,April,Monday,Clear,Dark - Not Lighted,27.9163,-82.4021
120646,FLORIDA,Not Applicable,OKALOOSA,Urban,Four-Way Intersection,LAKE SILVER RD,CRICKET LN,Rollover/Overturn,1,1,1,1,0,0,0,1,1,April,Monday,Clear,Dark - Not Lighted,30.8240,-86.5751
120647,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,US-1,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Wednesday,Cloudy,Dark - Lighted,30.3593,-81.6536
